Date,Close
12/02/19,1121.37
13/02/19,1120.16
14/02/19,1121.67
15/02/19,1113.65
19/02/19,1118.56
20/02/19,1113.8
21/02/19,1096.97
22/02/19,1110.37
25/02/19,1109.4
26/02/19,1115.13
27/02/19,1116.05
28/02/19,1119.92
01/03/19,1140.99
04/03/19,1147.8
05/03/19,1162.03
06/03/19,1157.86
07/03/19,1143.3
08/03/19,1142.32
11/03/19,1175.76
12/03/19,1193.2
13/03/19,1193.32
14/03/19,1185.55
15/03/19,1184.46
18/03/19,1184.26
19/03/19,1198.85
20/03/19,1223.97
21/03/19,1231.54
22/03/19,1205.5
25/03/19,1193
26/03/19,1184.62
27/03/19,1173.02
28/03/19,1168.49
29/03/19,1173.31
01/04/19,1194.43
02/04/19,1200.49
03/04/19,1205.92
04/04/19,1215
05/04/19,1207.15
08/04/19,1203.84
09/04/19,1197.25
10/04/19,1202.16
11/04/19,1204.62
12/04/19,1217.87
15/04/19,1221.1
16/04/19,1227.13
17/04/19,1236.34
18/04/19,1236.37
22/04/19,1248.84
23/04/19,1264.55
24/04/19,1256
25/04/19,1263.45
26/04/19,1272.18
29/04/19,1287.58
30/04/19,1188.48
01/05/19,1168.08
02/05/19,1162.61
03/05/19,1185.4
06/05/19,1189.39
07/05/19,1174.1
08/05/19,1166.27
09/05/19,1162.38
10/05/19,1164.27
13/05/19,1132.03
